Zebulon,7282732329,51,4985,57908,7
Obed,3268880762,69,97,775,876
Winfield,1694865797,56,54734,6855,0
Christy,4668605611,58,163,00143,25
Emlyn,4220870377,96,2,6375,16623
Virgil,4691891439,84,94460,191,38033
Anselm,3392130400,62,75,260,02327
Bruis,4870144255,1,73,8892,963
Barnaby,8082426624,61,6,2261,24799
Hunt,2576430511,39,746,39,20
Levy,1093454598,60,61,629,3296
Davide,4458508660,26,55728,0,7032
Sol,1680509454,57,5,44,84689
Peirce,2520307641,72,9,8510,31960
Alfons,8765447964,60,8,786,58179
Rodrick,8937823985,82,425,0865,67839
Stanton,7980767020,50,30,07485,751
De witt,7103885109,89,74628,0417,1
Rudolf,4989780892,51,033,102,7263
Cullie,7554680366,64,9227,6894,07620
Jim,5738635035,15,60342,3041,96
Gino,9424365144,100,05,9,845
Mack,1999752872,16,12029,11,125
Hugo,3041449676,88,1737,674,598
Jayme,2075672156,54,94827,43,43
Natal,7712699836,43,52998,88,4682
Michal,5158111103,74,30324,63,56
Rollie,3058491565,15,360,38247,5434
Osgood,3911995024,26,51,298,9575
Mayor,7182698617,87,5189,8573,16661
Filip,5473161413,97,7667,8251,547
Davon,4041552680,55,1063,8,2163
Pearce,5806749002,45,739,16446,81730
Marietta,1800983360,31,81,36,50
Sully,7087195530,89,41233,7,744
Karoly,2979002976,49,49,9043,60
Dennis,0498827623,86,484,68963,517
Robbert,2161099345,90,4,5,0
Willie,2728768196,24,91,69248,7
Prentiss,6935374782,71,2,0,0
Graeme,2326778987,2,7097,38026,32
Alfredo,6423910987,34,0,087,81923
Karoly,1319042147,94,70919,92101,36111
Jacky,4112662912,8,3792,181,2475
Carver,0425814319,30,6,83,520
Enoch,7971602782,96,58934,153,314
Vassily,3414890798,13,69,39,353
Brian,0726322520,21,9,863,9598
Abner,4475041457,84,599,67,5
Ruben,0332808297,7,23551,4143,001
Conrado,6852623459,69,281,7,386
Bastian,4911813091,2,9504,5030,82
Trumann,6913563957,94,9,69400,272
Hunfredo,3861655578,93,0,31,564
Kendal,2381911316,68,46697,8,79306
Keir,2466649594,74,7513,06823,9
Clair,6223115458,34,21706,7930,820
Nevile,7938288896,35,4,863,8139
Alfonso,5770727993,67,6,8,5386
Baxie,4658321629,88,5,01,11422
Artur,6402627046,15,3,0747,5514
Ezra,7671563757,64,02,8363,49163
Angelo,2724466179,88,70496,1,0
Jonathon,0546413498,63,13894,76,34
Frederick,9009633497,50,29871,966,26518
Clerkclaude,7308076741,2,6207,5956,6463
Rodrigo,8361426698,15,26572,344,70353
Vincents,3238705393,94,0072,0545,0103
Bruis,6904743816,79,95072,9776,25
Antonin,2724990870,22,41130,598,1
Pate,6091429914,26,67664,798,1
Levi,2030079693,45,869,14,8
Walden,9071751899,89,4,5,45
Ron,5903592414,92,96,6031,466
Humphrey,2499393262,67,743,0,3
Errick,7198654312,74,4,34205,88
Chane,0524046441,61,295,3583,59
Lalo,7079814804,38,026,13015,701
Ryley,3803082455,50,4690,620,5
Jerald,7393581523,53,14,0712,2
Winfred,3858004243,87,58690,1,0
Teador,1842073427,82,4679,639,8
Cyrill,3158836629,65,009,001,2415
Maxy,1322168431,34,4501,78,6
Merrel,9595678570,18,93338,45226,15
Oran,4483305387,6,05984,56549,532
Rick,1799135160,66,33855,1,9
Pat,2356485570,21,1,0770,921
Waiter,0596056842,77,8907,888,8
Graham,4299014529,97,832,4887,13
Giffy,2841767868,93,89309,56,6272
Ware,1109201761,93,6904,84278,8560
Benton,9620847148,78,79004,7,92940
Niels,9944077062,84,82680,02,795
Dov,0613096975,100,6603,06,71063
Berkeley,3375367783,30,928,811,46
Tobe,9467612712,83,0,50,2
Tait,5285671701,39,4,1,73
Cleveland,7483372044,76,6,95,40
Mickie,0285580590,3,2899,50,686
Wilden,4840457336,20,8257,5,8
Allyn,2639095366,29,55,95,3951
Baldwin,2474918817,52,4943,72,81960
Sawyer,4469581712,17,7,14241,3928
Thorny,5116913996,71,291,5,1
Gerick,7758109845,31,3923,3143,44245
Izzy,7553173002,20,97343,734,1
Bastian,1826884734,3,21,0516,1
Reinold,9092514306,14,13130,5,26619
Ignaz,2198956306,17,06818,10618,548
Cosimo,8321064698,21,5960,29442,4
Vergil,3832409378,30,9,49,772
Amerigo,0452101638,37,8264,8,1
Putnam,8834371070,19,654,74,27
Fidel,7699399242,46,31325,7913,4274
Ganny,4668590266,33,5,8,8
Thane,8656185799,19,7,7,2768
Gale,0406288356,3,7,7431,6310
Franz,8259049481,32,42141,9202,1124
Hubie,1024944263,28,8,5,002
Thibaut,3419788231,43,45679,9,9643
Alva,3199554113,33,39,54,48
Abraham,7604849296,12,16,46,3
Napoleon,0836303903,12,2121,67,0296
Panchito,3896191039,43,10890,1916,41663
Stevie,1094444871,51,6702,81,64632
Curtice,0180359312,76,3487,6919,5
Alva,0947561986,47,4657,0,998
Monroe,2940739803,60,60,6705,0
Kellen,9425595410,67,3539,579,7
Archibald,3535883997,91,74,4531,792
Chev,0465247040,71,844,05152,64330
Hobey,3462003275,7,8,714,777
Zeb,2947227743,21,4,99301,2
Brand,3852352487,95,7399,78,22302
Trstram,8081583181,23,887,8,41
Grace,6817698073,63,154,931,850
Arvie,2857216661,89,0,14509,831
Humbert,3674151278,20,78220,448,85
Murvyn,7805082138,82,461,109,69
Victor,2767836598,40,2,0789,87
Reagan,6047325122,92,2,015,59381
Ariel,9676198323,24,69,05,14755
Dominic,1265143382,36,28,797,59
Elwin,6029811207,80,4,8549,01944
Clement,3032525551,12,1,4,0
Rodge,4837936415,50,9,57633,52
Kean,6785742722,85,22509,88,8
Chet,3496569808,87,0697,9,7108
Mal,4900539589,44,57376,53,5
Bendicty,8537171298,80,43,641,6555
Wolfie,4789095940,33,8,63755,6
Walt,6460250847,92,9542,0,497
Barny,8637498493,48,7577,539,7909
Gunter,0391478494,48,0,6,5
See,0327890029,77,73,7,9
Nevil,3581385872,16,33966,48,139
Douglas,3981383001,76,90879,25,7
Hilly,6461578900,87,152,8557,8032
Donovan,5148639482,80,3,04,75213
Hurley,6212918252,51,82,15,5843
Welsh,2036756824,21,5531,1739,1028
Stanislaw,9865571463,99,5862,2738,70
Jeffry,8866864935,62,57016,38975,711
Gasparo,5680521482,26,66701,59212,623
Stephan,6100103028,78,37749,90134,7810
Randell,0811400557,94,0,54,503
Ximenes,1016920296,15,7,73968,80517
Yvon,3563414912,6,2699,59,57
Elsworth,2140781627,76,77,841,6
Rabi,0705138372,90,252,230,6447
Nester,7923442878,61,77,90,8
Felicio,5206790648,42,62312,68313,697
Ode,4125528098,26,611,95,35277
Benedetto,7778459574,12,1857,7712,3
Teodoro,5239948372,19,60026,21,1575
